name,href
Nancy Astor,/frasi-di/nancy-astor/
Atanasio di Alessandria,/frasi-di/atanasio-di-alessandria/
Mustafa Kemal Atatürk,/frasi-di/mustafa-kemal-ataturk/
Chet Atkins,/frasi-di/chet-atkins/
Dame Eileen Atkins,/frasi-di/eileen-atkins/
Gordon Atkinson,/frasi-di/gordon-atkinson/
Justin Brooks Atkinson,/frasi-di/justin-brooks-atkinson/
Ronald Franklin Atkinson,/frasi-di/ronald-franklin-atkinson/
Rowan Atkinson,/frasi-di/rowan-atkinson/
Ti-Grace Atkinson,/frasi-di/ti-grace-atkinson/
Jacques Attali,/frasi-di/jacques-attali/
A.A. Attanasio,/frasi-di/alfred-angelo-attanasio/
Farid Al-Din Attar,/frasi-di/farid-al-din-attar/
Richard Attenborough,/frasi-di/richard-attenborough/
King Attila the Hun,/frasi-di/attila/
Clement Richard Attlee,/frasi-di/clement-richard-attlee/
Luciano Attolico,/frasi-di/luciano-attolico/
Hayley Atwell,/frasi-di/hayley-atwell/
Margaret Eleanor Atwood,/frasi-di/margaret-eleanor-atwood/
stefania Auci,/frasi-di/stefania-auci/
W.H. Auden,/frasi-di/wystan-hugh-auden/
Jacques Audiard,/frasi-di/jacques-audiard/
Pierre Michel Audiard,/frasi-di/pierre-michel-audiard/
Jacques Audiberti,/frasi-di/jacques-audiberti/
Berthold Auerbach,/frasi-di/berthold-auerbach/
Red Auerbach,/frasi-di/red-auerbach/
Marc Augé,/frasi-di/marc-auge/
Corrado Augias,/frasi-di/corrado-augias/
Emile Augier,/frasi-di/emile-augier/
David Augsberger,/frasi-di/david-augsberger/
Paul Aúguez,/frasi-di/paul-auguez/
Auguste Marie Louis Nicolas Lumière,/frasi-di/auguste-marie-louis-nicolas-lumiere/
Norman Ralph Augustine,/frasi-di/norman-ralph-augustine/
Emperor Augustus,/frasi-di/gaio-giulio-cesare-ottaviano-augusto/
Bishop Richard Aungervyle,/frasi-di/richard-de-bury/
Sri Aurobindo,/frasi-di/sri-aurobindo/
Ausonius,/frasi-di/decimo-magno-ausonio/
Jane Austen,/frasi-di/jane-austen/
Paul Auster,/frasi-di/paul-auster/
Emory Austin,/frasi-di/emory-austin/
John Langshaw Austin,/frasi-di/john-langshaw-austin/
Austregésilo de Athayde,/frasi-di/austregesilo-de-athayde/
Joseph Autran,/frasi-di/joseph-autran/
Fernand Auwera,/frasi-di/fernand-auwera/
Silvia Avallone,/frasi-di/silvia-avallone/
Frankie Avalon,/frasi-di/frankie-avalon/
